ano,sigla_uf,id_municipio,taxa_motorizacao,nome_municipio,populacao
2015,SE,2800308,414.346086252892,Aracaju,632744.0
2015,PA,1501402,269.648872121431,Belém,1439561.0
2015,MG,3106200,653.405297062165,Belo Horizonte,2502557.0
2015,RR,1400100,494.752333855086,Boa Vista,320714.0
2015,DF,5300108,541.590418652203,Brasília,2914830.0
2015,MS,5002704,577.148901973004,Campo Grande,853622.0
2015,MT,5103403,601.708214970482,Cuiabá,580489.0
2015,PR,4106902,750.479818874029,Curitiba,1879355.0
2015,SC,4205407,664.80231642147,Florianópolis,469690.0
2015,CE,2304400,366.157916754786,Fortaleza,2591188.0
2015,GO,5208707,697.527149354475,Goiânia,1430697.0
2015,PB,2507507,404.260346356885,João Pessoa,791438.0
2015,AP,1600303,286.074739516541,Macapá,456171.0
2015,AL,2704302,271.448341985829,Maceió,1013773.0
2015,AM,1302603,293.306494449415,Manaus,2057711.0
2015,RN,2408102,404.619094802714,Natal,869954.0
2015,TO,1721000,546.218549019895,Palmas,272726.0
2015,RS,4314902,542.027819702113,Porto Alegre,1476867.0
2015,RO,1100205,458.14006221805,Porto Velho,502748.0
2015,PE,2611606,375.175845899938,Recife,1617183.0
2015,AC,1200401,402.96856024828,Rio Branco,370550.0
2015,RJ,3304557,394.702122137266,Rio De Janeiro,6476631.0
2015,BA,2927408,273.856958043359,Salvador,2921087.0
2015,MA,2111300,317.705767706839,São Luís,1073893.0
2015,SP,3550308,607.527265814799,São Paulo,11967825.0
2015,PI,2211001,482.547127907183,Teresina,844245.0
2015,ES,3205309,506.883034773446,Vitória,355875.0
2016,SE,2800308,417.794841338502,Aracaju,641523.0
2016,PA,1501402,277.67174120807,Belém,1446042.0
2016,MG,3106200,678.052605759969,Belo Horizonte,2513451.0
2016,RR,1400100,510.200080264936,Boa Vista,326419.0
2016,DF,5300108,546.385952514026,Brasília,2977216.0
2016,MS,5002704,588.092113030133,Campo Grande,863982.0
2016,MT,5103403,613.094007690902,Cuiabá,585367.0
2016,PR,4106902,744.868656074957,Curitiba,1893997.0
2016,SC,4205407,668.71564970971,Florianópolis,477798.0
2016,CE,2304400,374.106990952272,Fortaleza,2609716.0
2016,GO,5208707,700.008766849436,Goiânia,1448639.0
2016,PB,2507507,416.33342397202,João Pessoa,801718.0
2016,AP,1600303,287.880643186286,Macapá,465495.0
2016,AL,2704302,278.196629372943,Maceió,1021709.0
2016,AM,1302603,296.608894900713,Manaus,2094391.0
2016,RN,2408102,412.607586975396,Natal,877662.0
2016,TO,1721000,552.262592190269,Palmas,279856.0
2016,RS,4314902,547.685073587847,Porto Alegre,1481019.0
2016,RO,1100205,465.09617209063,Porto Velho,511219.0
2016,PE,2611606,376.722689644269,Recife,1625583.0
2016,AC,1200401,411.245514603893,Rio Branco,377057.0
2016,RJ,3304557,402.49170736241,Rio De Janeiro,6498837.0
2016,BA,2927408,278.838443452417,Salvador,2938092.0
2016,MA,2111300,325.010273008075,São Luís,1082935.0
2016,SP,3550308,621.02179109375,São Paulo,12038175.0
2016,PI,2211001,503.285227098403,Teresina,847430.0
2016,ES,3205309,501.942679145054,Vitória,359555.0
2017,SE,2800308,422.889498020323,Aracaju,650106.0
2017,PA,1501402,282.89545712761,Belém,1452275.0
2017,MG,3106200,724.317436367627,Belo Horizonte,2523794.0
2017,RR,1400100,524.149147641708,Boa Vista,332020.0
2017,DF,5300108,551.746635239866,Brasília,3039444.0
2017,MS,5002704,601.96177119914,Campo Grande,874210.0
2017,MT,5103403,625.45287552659,Cuiabá,590118.0
2017,PR,4106902,743.509999952839,Curitiba,1908359.0
2017,SC,4205407,674.784598981553,Florianópolis,485838.0
2017,CE,2304400,381.46674268368,Fortaleza,2627482.0
2017,GO,5208707,705.211427558054,Goiânia,1466105.0
2017,PB,2507507,428.521262989805,João Pessoa,811598.0
2017,AP,1600303,292.391501266047,Macapá,474706.0
2017,AL,2704302,287.474165046364,Maceió,1029129.0
2017,AM,1302603,301.564031500321,Manaus,2130264.0
2017,RN,2408102,421.404686052554,Natal,885180.0
2017,TO,1721000,562.853267407519,Palmas,286787.0
2017,RS,4314902,551.837413068937,Porto Alegre,1484941.0
