ano,sigla_uf,id_municipio,emissao_co2,emissao_mp,nome_municipio,populacao
2015,PE,2611606,614,61,Recife,1617183.0
2015,AC,1200401,823,96,Rio Branco,370550.0
2015,RJ,3304557,631,77,Rio De Janeiro,6476631.0
2015,BA,2927408,495,57,Salvador,2921087.0
2015,MA,2111300,1461,236,São Luís,1073893.0
2015,SP,3550308,746,84,São Paulo,11967825.0
2015,PI,2211001,996,114,Teresina,844245.0
2015,ES,3205309,770,54,Vitória,355875.0
2016,SE,2800308,696,54,Aracaju,641523.0
2016,PA,1501402,522,54,Belém,1446042.0
2016,MG,3106200,777,57,Belo Horizonte,2513451.0
2016,RR,1400100,1189,138,Boa Vista,326419.0
2016,DF,5300108,1015,77,Brasília,2977216.0
2016,MS,5002704,1736,235,Campo Grande,863982.0
2016,MT,5103403,1408,230,Cuiabá,585367.0
2016,PR,4106902,1155,112,Curitiba,1893997.0
2016,SC,4205407,1012,51,Florianópolis,477798.0
2016,CE,2304400,599,56,Fortaleza,2609716.0
2016,GO,5208707,886,97,Goiânia,1448639.0
2016,PB,2507507,727,63,João Pessoa,801718.0
2016,AP,1600303,626,48,Macapá,465495.0
2016,AL,2704302,588,59,Maceió,1021709.0
2016,AM,1302603,871,104,Manaus,2094391.0
2016,RN,2408102,660,58,Natal,877662.0
2016,TO,1721000,1010,104,Palmas,279856.0
2016,RS,4314902,818,66,Porto Alegre,1481019.0
2016,RO,1100205,1573,227,Porto Velho,511219.0
2016,PE,2611606,643,54,Recife,1625583.0
2016,AC,1200401,758,81,Rio Branco,377057.0
2016,RJ,3304557,586,65,Rio De Janeiro,6498837.0
2016,BA,2927408,504,52,Salvador,2938092.0
2016,MA,2111300,1444,218,São Luís,1082935.0
2016,SP,3550308,763,81,São Paulo,12038175.0
2016,PI,2211001,941,96,Teresina,847430.0
2016,ES,3205309,746,48,Vitória,359555.0
2017,SE,2800308,657,48,Aracaju,650106.0
2017,PA,1501402,470,44,Belém,1452275.0
2017,MG,3106200,811,64,Belo Horizonte,2523794.0
2017,RR,1400100,1190,129,Boa Vista,332020.0
2017,DF,5300108,997,69,Brasília,3039444.0
2017,MS,5002704,1678,212,Campo Grande,874210.0
2017,MT,5103403,1271,197,Cuiabá,590118.0
2017,PR,4106902,1183,107,Curitiba,1908359.0
2017,SC,4205407,941,43,Florianópolis,485838.0
2017,CE,2304400,571,51,Fortaleza,2627482.0
2017,GO,5208707,876,89,Goiânia,1466105.0
2017,PB,2507507,695,55,João Pessoa,811598.0
2017,AP,1600303,597,40,Macapá,474706.0
2017,AL,2704302,562,53,Maceió,1029129.0
2017,AM,1302603,1245,177,Manaus,2130264.0
2017,RN,2408102,642,52,Natal,885180.0
2017,TO,1721000,1035,104,Palmas,286787.0
2017,RS,4314902,815,59,Porto Alegre,1484941.0
2017,RO,1100205,1720,250,Porto Velho,519436.0
2017,PE,2611606,638,51,Recife,1633697.0
2017,AC,1200401,706,70,Rio Branco,383443.0
2017,RJ,3304557,528,57,Rio De Janeiro,6520266.0
2017,BA,2927408,493,48,Salvador,2953986.0
2017,MA,2111300,1506,224,São Luís,1091868.0
2017,SP,3550308,770,78,São Paulo,12106920.0
2017,PI,2211001,933,90,Teresina,850198.0
2017,ES,3205309,681,42,Vitória,363140.0
2018,SE,2800308,622,48,Aracaju,648939.0
2018,PA,1501402,421,37,Belém,1485732.0
2018,MG,3106200,713,70,Belo Horizonte,2501576.0
2018,RR,1400100,1491,193,Boa Vista,375374.0
2018,DF,5300108,924,67,Brasília,2974703.0
2018,MS,5002704,1708,218,Campo Grande,885711.0
2018,MT,5103403,1200,189,Cuiabá,607153.0
2018,PR,4106902,1051,103,Curitiba,1917185.0
2018,SC,4205407,882,40,Florianópolis,492977.0
2018,CE,2304400,536,48,Fortaleza,2643247.0
2018,GO,5208707,727,82,Goiânia,1495705.0
2018,PB,2507507,635,52,João Pessoa,800323.0
2018,AP,1600303,559,33,Macapá,493634.0
2018,AL,2704302,536,52,Maceió,1012382.0
2018,AM,1302603,1441,214,Manaus,2145444.0
2018,RN,2408102,589,48,Natal,877640.0
2018,TO,1721000,947,95,Palmas,291855.0
2018,RS,4314902,749,55,Porto Alegre,1479101.0
2018,RO,1100205,1693,240,Porto Velho,519531.0
2018,PE,2611606,579,50,Recife,1637834.0
2018,AC,1200401,654,62,Rio Branco,401155.0
2018,RJ,3304557,445,50,Rio De Janeiro,6688927.0
2018,BA,2927408,446,45,Salvador,2857329.0
2018,MA,2111300,1593,235,São Luís,1094667.0
2018,SP,3550308,679,74,São Paulo,12176866.0
2018,PI,2211001,865,85,Teresina,861442.0
2018,ES,3205309,634,36,Vitória,358267.0
